ID,Data Source,Sub-category,Merge Field Label,Merge Field Code,Merge Field Description,Format
449,Bill expenses/disbursements,,Title,BillExpenses_Title,Title of the expense as per the invoice items,s
453,Bill expenses/disbursements,,Total Price (excl. tax),BillExpenses_TotalPriceExcludingTax,Total price of the expense (excluding tax),c
451,Bill expenses/disbursements,,Unit Price (excl. tax),BillExpenses_UnitPriceExcludingTax,Unit price (excluding tax) of the expense,c
529,Bill expenses/disbursements,,UTBMS Activity Code,BillExpenses_UtbmsActivityCode,UTBMS Activity Code,s
532,Bill expenses/disbursements,,UTBMS Expense Code,BillExpenses_UtbmsExpenseCode,UTBMS Expense Code,s
530,Bill expenses/disbursements,,UTBMS Task Code,BillExpenses_UtbmsTaskCode,UTBMS Task Code,s
531,Bill expenses/disbursements,,UTBMS Timekeeper Code,BillExpenses_UtbmsTimekeeperCode,UTBMS Timekeeper Code,s
464,Bill fees,,Action ID,BillFees_Action_ID,Action ID of this item,n
465,Bill fees,,Action Name,BillFees_Action_Name,Action Name of this item,s
459,Bill fees,,Date,BillFees_Date,Date of the fee item as per invoice item,d
458,Bill fees,,Description,BillFees_Description,Description of the fee item as per invoice item,s
520,Bill fees,,GST Code,BillFees_GstCode,Gst code of the fee item as per invoice item,s
521,Bill fees,,GST Percent,BillFees_GstPercent,Gst percent of the fee item as per invoice item,n
462,Bill fees,,Hours and Minutes,BillFees_HoursAndMinutes,Quantity expressed as hours:minutes of the invoice item,s
461,Bill fees,,Hours as Decimal,BillFees_HoursAsDecimal,Quantity as a decimal of the invoice item (ie Hours),n
460,Bill fees,,Rate,BillFees_Rate,Unit price of the fee item as per invoice item,n
787,Bill fees,,Rate Label,BillFees_RateLabel,Rate label of the fee item as per invoice item,s
512,Bill fees,,Timekeeper Initials,BillFees_TimekeeperInitials,Timekeeper initials,s
457,Bill fees,,Title,BillFees_Title,Title of the fee item as per invoice item,s
463,Bill fees,,Total Price (excl. tax),BillFees_TotalPriceExcludingTax,The total price (excl tax) of the invoice item,c
525,Bill fees,,UTBMS Activity Code,BillFees_UtbmsActivityCode,UTBMS Activity Code,s
528,Bill fees,,UTBMS Expense Code,BillFees_UtbmsExpenseCode,UTBMS Expense Code,s
526,Bill fees,,UTBMS Task Code,BillFees_UtbmsTaskCode,UTBMS Task Code,s
527,Bill fees,,UTBMS Timekeeper Code,BillFees_UtbmsTimekeeperCode,UTBMS Timekeeper Code,s
475,Bill payments,,Amount,BillStatementPayments_Amount,Payment/Adjustment Amount,c
472,Bill payments,,Date,BillStatementPayments_Date,Date of the payment/adjustment,d
474,Bill payments,,Description,BillStatementPayments_Description,Description of the payment/adjustment,s
473,Bill payments,,Payment Reference,BillStatementPayments_PaymentReference,Payment reference,s
519,Bill payments,,Payment Reference Long,BillStatementPayments_PaymentReferenceLong,Longer version of the payment reference (no abbreviations used),s
470,Bill retainers,,Action ID,BillRetainer_Action_ID,Action Id of the retainer,n
471,Bill retainers,,Action Name,BillRetainer_Action_Name,Action Name of the retainer,s
469,Bill retainers,,Amount Due,BillRetainer_AmountDue,The amount due on this invoice (as a replenishment) for this retainer,c
468,Bill retainers,,Current Balance,BillRetainer_CurrentBalance,The current balance of the retainer (after any payments),c
466,Bill retainers,,Description,BillRetainer_Description,Name/description of the Retainer (General or Trust),s
467,Bill retainers,,Minimum Balance,BillRetainer_MinimumBalance,The minimum balance for this retainer (if set),c
479,Bill trust statement,,Amount,BillStatementTrust_Amount,Amount of the entry,c
480,Bill trust statement,,Balance,BillStatementTrust_Balance,Running balance,c
476,Bill trust statement,,Date,BillStatementTrust_Date,Date of the entry,d
478,Bill trust statement,,Description,BillStatementTrust_Description,Description of the entry,s
477,Bill trust statement,,Payment Reference,BillStatementTrust_PaymentReference,Entry payment reference,s
431,Check,,Action ID,Check_Action_ID,Action ID associated with a Check (where applicable),n
176,Check,,Amount,Check_Amount,Check Amount (Currency),c
177,Check,,Amount (in words),Check_AmountText,Check Amount (English Words),s
175,Check,,Date,Check_Date,Check Date,d
180,Check,,Memo,Check_Memo,Check Memo,s
174,Check,,Number,Check_Number,Check Number,n
178,Check,,Our Reference (List),Check_SP_OurReferenceList,List of Sale/Purchase Our Reference associated with check,s
590,Check,,Payee,Check_Payee,Check Payee/Pay TO Text,s
589,Check,,Their Reference (List),Check_SP_TheirReferenceList,List of Sale/Purchase Their Reference associated with check,s
179,Check,,Void,Check_Void,Check Void Text (VOID or empty if not void),s
244,Deposit slip,,Account Name,DS_AccountName,Deposit Slip: Chart-of-Accounts Account Name,s
243,Deposit slip,,Account Number,DS_AccountNumber,Deposit Slip: Chart-of-Accounts Account Number,n
241,Deposit slip,,Bank Account Name,DS_BankAccountName,Deposit Slip: Bank Account Name,s
242,Deposit slip,,Bank Account Number,DS_BankAccountNumber,Deposit Slip: Bank Account Number,n
246,Deposit slip,,Bank Branch Name,DS_BankBranchName,Deposit Slip: Bank Branch Name,s
245,Deposit slip,,Bank Name,DS_BankName,Deposit Slip: Bank Name,s
247,Deposit slip,,Deposit Date,DS_DepositDate,Deposit Slip: Deposit Date,d
240,Deposit slip,,Deposit Number,DS_DepositNumber,Deposit Slip: Deposit Number,n
254,Deposit slip,,Holder,DS_Holder,Deposit Slip: Holder,s
250,Deposit slip,,Total Cash Amount,DS_TotalCashAmount,Deposit Slip: Total Cash (Notes+Coins) Amount (Currency),c
251,Deposit slip,,Total Check Amount,DS_TotalCheckAmount,Deposit Slip: Total Check Amount (Currency),c
249,Deposit slip,,Total Coins Amount,DS_TotalCoinsAmount,Deposit Slip: Total Coins Amount (Currency),c
252,Deposit slip,,Total Credit Card Amount,DS_TotalCreditCardAmount,Deposit Slip: Total Credit Card Amount (Currency),c
253,Deposit slip,,Total Deposit Amount,DS_TotalDepositAmount,Deposit Slip: Total Deposit Amount (Cash+Check+CreditCard) (Currency),c
248,Deposit slip,,Total Notes Amount,DS_TotalNotesAmount,Deposit Slip: Total Notes Amount (Currency),c
255,Deposit slip,,Transit,DS_Transit,Deposit Slip: Transit,s
267,Deposit slip items,,Action ID,DSI_ActionId,Deposit Slip Item: Action ID,n
259,Deposit slip items,,Amount,DSI_Amount,Deposit Slip Item: Total Deposit Amount,c
261,Deposit slip items,,Amount Cash,DSI_AmountCash,Deposit Slip Item: Cash Deposit Amount,c
260,Deposit slip items,,Amount Check,DSI_AmountCheck,Deposit Slip Item: Check Deposit Amount,c
262,Deposit slip items,,Amount Credit Card,DSI_AmountCreditCard,Deposit Slip Item: Credit Card Deposit Amount,c
263,Deposit slip items,,Check Date,DSI_CheckDate,Deposit Slip Item: Check Date (if available),d
264,Deposit slip items,,Check Number,DSI_CheckNumber,Deposit Slip Item: Check Number (if available),n
265,Deposit slip items,,Memo,DSI_Memo,Deposit Slip Item: Memo,s
319,Deposit slip items,,Payee Bank Branch,DSI_PayeeBankBranch,Deposit Slip Item: PAyee Bank Branch (if available),s
258,Deposit slip items,,Payee Bank Name,DSI_PayeeBankName,Deposit Slip Item: Payee Bank Name (if available),s
257,Deposit slip items,,Payee Name,DSI_PayeeName,Deposit Slip Item: Payee Name,s
266,Deposit slip items,,Payment Method,DSI_PaymentMethod,Deposit Slip Item: Payment Method,s
256,Deposit slip items,,Transaction ID,DSI_TransactionId,Deposit Slip Item: GL Transaction ID,s
82,Division/Company Data,,Division Logo,DivisionLogo,RTF Logo of the Division,s
335,Document Data,,Created Date,Document_CreatedDate,Document Created Date (date created/uploaded in Actionstep),d
333,Document Data,,Date (user defined),Document_Date,Document Date (a user defined date),d
332,Document Data,,Filename (with file extension),Document_Filename,Document File Name (with file extension),s
334,Document Data,,Last Modified Date,Document_LastModifiedDate,Document Last Modified Date (in Actionstep),d
331,Document Data,,Name (without file extension),Document_Name,Document Name (with no file extension),s
55,Grammar,,Object pronouns (me/us/you),pronoun2,Me/Us/You/Him/Her/Them/It depending on person (1st/2nd/3rd).,s
56,Grammar,,Possessive adjectives (my/our/your),pronoun3,My/Our/Your/His/Her/Their/Its depending on person (1st/2nd/3rd).,s
57,Grammar,,Possessive pronouns (mine/ours/yours),pronoun4,Mine/Ours/Yours/His/Hers/Theirs/Its depending on person (1st/2nd/3rd).,s
58,Grammar,,Singular/Plural text substitution,s_p,Singular or Plural text substitution,s
52,Grammar,,Subject pronouns (I/we/you),pronoun1,I/We/You/He/She/It/They depending on person (1st/2nd/3rd).,s
346,Misc/Other,,Document ID,document_id,Document ID (where applicable) is the unique identifier for a document stored inside an action,n
53,Misc/Other,,Individual or Company text substitution,i_c,Individual or Company text substitution.,s
54,Misc/Other,,Male or Female text substitution,m_f,Male or Female text substitution.,s
35,Participant Data,Address (Mailing),Mailing Address Line 1,MailingAddressLine1,Mailing Address_line1,s
40,Participant Data,Address (Mailing),Mailing Address Line 2,MailingAddressLine2,Mailing Address_line2,s
41,Participant Data,Address (Mailing),Mailing Address Lines 1 and 2 (no comma),MailingAddressLine,MailingAddress_line1 + MailingAddress_line2,s
67,Participant Data,Address (Mailing),Mailing Address Lines 1 and 2 (with comma),MailingAddressLineComma,"Mailing_Address_line1, Mailing_Address_line2",s
36,Participant Data,Address (Mailing),Mailing City,MailingCity,Mailing City,s
45,Participant Data,Address (Mailing),Mailing Country,MailingCountry,Country of Mailing Address,s
46,Participant Data,Address (Mailing),Mailing Country If Foreign,MailingCountryIfForeign,Country of Mailing Address if Foreign,s
317,Participant Data,Address (Mailing),Mailing County,MailingCounty,Mailing Address County,s
62,Participant Data,Address (Mailing),Mailing Post Code,MailingPostCode,Mailing Zip/Postal Code,s
61,Participant Data,Address (Mailing),Mailing State Province,MailingStateProvince,Mailing State/Province,s
228,Participant Data,Address (Shipping),Shipping Address Line 1,ShippingAddressLine1,Shipping Address Line 1,s
230,Participant Data,Address (Shipping),Shipping Address Line 2,ShippingAddressLine2,Shipping Address Line 2,s
231,Participant Data,Address (Shipping),Shipping Address Lines 1 + 2 (no comma),ShippingAddressLine,ShippingAddressLine1 + ShippingAddressLine2,s
236,Participant Data,Address (Shipping),Shipping Address Lines 1 + 2 (with comma),ShippingAddressLineComma,"ShippingAddressLine1, ShippingAddressLine2",s
229,Participant Data,Address (Shipping),Shipping City,ShippingCity,Shipping City,s
232,Participant Data,Address (Shipping),Shipping Country,ShippingCountry,Country of Shipping Address,s
233,Participant Data,Address (Shipping),Shipping Country (if foreign),ShippingCountryIfForeign,Country of Shipping Address if Foreign,s
235,Participant Data,Address (Shipping),Shipping Post Code,ShippingPostCode,Shipping Zip/Postal Code,s
234,Participant Data,Address (Shipping),Shipping State Province,ShippingStateProvince,Shipping Sate/Province,s
37,Participant Data,Address (Street),Address Line 1,AddressLine1,Physical Address_line1,s
38,Participant Data,Address (Street),Address Line 2,AddressLine2,Physical Address_line2,s
39,Participant Data,Address (Street),Address Lines 1 + 2 (no comma),AddressLine,Address_line1 + Address_line2,s
66,Participant Data,Address (Street),Address Lines 1 + 2 (with comma),AddressLineComma,"Address_line1, Address_line2",s
42,Participant Data,Address (Street),City,City,City,s
43,Participant Data,Address (Street),Country,Country,Country of Physical Address,s
44,Participant Data,Address (Street),Country (if foreign),CountryIfForeign,Country of Physical Address if Foreign,s
316,Participant Data,Address (Street),County,County,Address County,s
60,Participant Data,Address (Street),Post Code,PostCode,Physical Zip/Postal Code,s
59,Participant Data,Address (Street),State Province,StateProvince,Physical State/Province,s
171,Participant Data,Contact details,Additional Email,AdditionalEmail,Additional Email Address,s
32,Participant Data,Contact details,Email,E_Mail,E-Mail Address,s
28,Participant Data,Contact details,Fax,Fax,Fax,p
20,Participant Data,Contact details,Phone 1,Phone1,Phone1,p
18,Participant Data,Contact details,Phone 2,Phone2,Phone2,p
19,Participant Data,Contact details,Phone 3,Phone3,Phone3,p
25,Participant Data,Contact details,Phone 4,Phone4,Phone4,p
21,Participant Data,Contact details,Phone Assistant,Phone_Assistant,Phone_Assistant,p
22,Participant Data,Contact details,Phone Business,Phone_Business,Phone Business,p
26,Participant Data,Contact details,Phone Business 2,Phone_Business_2,Phone_Business_2,p
23,Participant Data,Contact details,Phone Direct Dial,Phone_Direct_Dial,Phone Direct Dial,p
24,Participant Data,Contact details,Phone Home,Phone_Home,Phone_Home,p
27,Participant Data,Contact details,Phone Home 2,Phone_Home_2,Phone_Home_2,p
17,Participant Data,Contact details,Phone Home Fax,Phone_Home_Fax,Phone Home Fax,p
279,Participant Data,Contact details,Phone Mobile,Phone_Mobile,Phone_Mobile,p
280,Participant Data,Contact details,Phone Mobile 2,Phone_Mobile_2,Phone_Mobile_2,p
281,Participant Data,Contact details,Phone Other,Phone_Other,Phone_Other,p
591,Participant Data,Contact details,Text SMS,TextSMS,Text or SMS number,p
63,Participant Data,Contact details,Website,Website,Website Address,s
518,Participant Data,Miscellaneous,Participant Has Signature,ParticipantHasSignature,Returns T if there is a signature and F if not (used for conditional statement to hide/show a signature),s
209,Participant Data,Miscellaneous,Participant ID,ParticipantID,Participant ID,s
268,Participant Data,Miscellaneous,Participant Image,ParticipantImage,The user uploaded image for the participant,s
517,Participant Data,Miscellaneous,Participant Signature,ParticipantSignature,The signature assigned to a participant,s
277,Participant Data,Miscellaneous,Participant Type Name,ParticipantTypeName,Participant Type Name,s
6,Participant Data,Name,First Initial (List),FirstInitialList,List of Initials of First Names for this participant type,s
13,Participant Data,Name,First Initial First Name,FirstInitial,Initial of First Name e.g John Henry Smith would be J,s
14,Participant Data,Name,First Initial Last Name,FirstInitialLastName,First Initial followed by last name e.g John Henry Smith would be J Smith,s
425,Participant Data,Name,First Initial Last Name List,FirstInitialLastNameList,First Initial followed by last name e.g John Henry Smith would be J Smith,s
426,Participant Data,Name,First Initial Last Name With Salutation,FirstInitialLastNameWithSalutation,FirstInitial with LastName and Salutation prefix (Mr/Mrs etc),s
7,Participant Data,Name,First Initial Last Name With Salutation List,FirstInitialLastNameWithSalutationList,FirstInitial with LastName and Salutation prefix (Mr/Mrs etc),s
4,Participant Data,Name,First Name,FirstName,First Name,s
338,Participant Data,Name,First Name Last Name,FirstNameLastName,First Name + Last Name (or Company name if a company),s
339,Participant Data,Name,First Name Last Name List,FirstNameLastNameList,List of First Name + Last Name (or Company name if a company),s
5,Participant Data,Name,First Name List,FirstNameList,List of First Name,s
16,Participant Data,Name,First Names,FirstNames,"First Name, Middle Name",s
1,Participant Data,Name,Full Name,FullName,"First, Middle, Last Names",s
420,Participant Data,Name,Full Name Initials With Salutation,FullNameInitialsWithSalutation,Salutation FirstName {Middle Initial(s)} Last Name,s
421,Participant Data,Name,Full Name Initials With Salutation List,FullNameInitialsWithSalutationList,List of Salutation FirstName {Middle Initial(s)} Last Name,s
2,Participant Data,Name,Full Name List,FullNameList,"List of Full Names e.g. Name1, Name2, and Name3",s
416,Participant Data,Name,Full Name With Salutation,FullNameWithSalutation,Same as FullName but with the Salutation prefix (Mr/Mrs etc),s
417,Participant Data,Name,Full Name With Salutation List,FullNameWithSalutationList,Same as FullName but with the Salutation prefix (Mr/Mrs etc),s
9,Participant Data,Name,Initials (all names),InitialsAll,"All initials, with spaces, including last name. (Use |strip_spaces=T to remove spaces). Example John Henry Robert Smith would be J H R S (or JHRS with spaces removed)",s
239,Participant Data,Name,Initials (first and middle names),Initials,Initials of First and Middle Names e.g John Henry Smith would be J H,s
11,Participant Data,Name,Initials (List),InitialsList,List Initials of all participants of this type,s
12,Participant Data,Name,Initials With Last Name,InitialsLastName,Initials followed by last name e.g John Henry Smith would be J H Smith,s
10,Participant Data,Name,Initials With Last Name (List),InitialsLastNameList,Initials followed by last name e.g John Henry Smith would be J H Smith,s
524,Participant Data,Name,Last Initial,LastInitial,Initial of Last Name e.g John Henry Smith would be S,s
15,Participant Data,Name,Last Name,LastName,Last Name,s
270,Participant Data,Name,Last Name (List),LastNameList,List of Last Name,s
418,Participant Data,Name,Last Name With Salutation,LastNameWithSalutation,Same as LastName but with the Salutation prefix (Mr/Mrs etc),s
419,Participant Data,Name,Last Name With Salutation (List),LastNameWithSalutationList,Same as LastName but with the Salutation prefix (Mr/Mrs etc),s
8,Participant Data,Name,Middle Initial,MiddleInitial,Initial of Middle Name e.g John Henry Smith would be H,s
271,Participant Data,Name,Middle Name,MiddleName,Middle Name(s),s
272,Participant Data,Name,Middle Name List,MiddleNameList,List of Middle Name(s),s
64,Participant Data,Name,Preferred Name,PreferredName,Preferred Name,s
340,Participant Data,Name,Preferred Name Last Name,PreferredNameLastName,Preferred Name (or First Name if not set) + Last Name (or Company name if a company),s
341,Participant Data,Name,Preferred Name Last Name (List),PreferredNameLastNameList,List of Preferred Name (or First Name if not set) + Last Name (or Company name if a company),s
65,Participant Data,Name,Preferred Name List,PreferredNameList,List of Preferred Name,s
3,Participant Data,Name,Salutation,Salutation,"Mr, Mrs. etc.",s
330,Participant Data,Name,Suffix,Suffix,"Name Suffix (jr, snr etc)",s
31,Participant Data,Personal Information,Age,age_in_years,Age in years,n
318,Participant Data,Personal Information,Citizenship,CitizenOfCountry,Citizenship,s
47,Participant Data,Personal Information,Company Name,CompanyName,Company Name,s
337,Participant Data,Personal Information,Company Name (List),CompanyNameList,"List of Company Names e.g. Name1, Name2 and Name3",s
312,Participant Data,Personal Information,Date of birth,dob,Date of Birth,d
30,Participant Data,Personal Information,Date of death,date_of_death,Date of Death,d
29,Participant Data,Personal Information,Gender,Gender,Gender,s
33,Participant Data,Personal Information,IRD_Number,IRD_Number,IRD Number,n
273,Participant Data,Personal Information,Marital Status,MaritalStatus,"Marital Status (Married, Single etc)",s
274,Participant Data,Personal Information,Marital Status (List),MaritalStatusList,List of Marital Status,s
34,Participant Data,Personal Information,Occupation,Occupation,Occupation,s
275,Participant Data,Personal Information,Tax Number,TaxNumber,"Tax Number (aka Social Security Number, IRD Number etc)",n
276,Participant Data,Personal Information,Tax Number (List),TaxNumberList,List of Tax Number(s),n
445,Receipt Actions,,Action Amount,ReceiptAction_ActionAmount,Receipt Action - Action Amount,c
442,Receipt Actions,,Action ID,ReceiptAction_ActionID,Receipt Action - Action ID,n
444,Receipt Actions,,Action Name,ReceiptAction_ActionName,Receipt Action - Action Name,s
443,Receipt Actions,,Client Names,ReceiptAction_ClientNames,Receipt Action - Client Name(s),s
446,Receipt Data,,Account Name,Receipt_AccountName,Receipt - Account Name,s
350,Receipt Data,,Action Summary,Receipt_ActionSummary,Summary of action information associated with the receipt,s
195,Receipt Data,,Amount,Receipt_Amount,Receipt - Amount (Currency),c
196,Receipt Data,,Amount Text,Receipt_AmountText,Receipt - Amount (Text),s
198,Receipt Data,,Beneficiary,Receipt_Beneficiary,Receipt - Beneficiary,s
422,Receipt Data,,Date Payment Received,Receipt_DatePaymentReceived,"The date the payment was received (only available in some regions, otherwise defaults to the date the record was entered into actionstep)",d
199,Receipt Data,,Description,Receipt_Description,Receipt - Description/Memo,s
189,Receipt Data,,Payment Date,Receipt_PaymentDate,"This is the date on the payment associated to the Receipt, for example the date of a Cheque (Check)",d
194,Receipt Data,,Payment Method,Receipt_PaymentMethod,Receipt - Payment Method,s
200,Receipt Data,,Payment Reference,Receipt_PaymentReference,Receipt - Payment Reference,s
447,Receipt Data,,Receipt Date,Receipt_ReceiptDate,This is the physical date/time that the user issued a receipt for payment,d
193,Receipt Data,,Receipt Entry Date,Receipt_ReceiptEntryDate,This is the physical date/time that the receipt was created in Actionstep,d
278,Receipt Data,,Receipt ID,Receipt_ID,Receipt - Receipt ID,n
192,Receipt Data,,Receipt Issued By,Receipt_ReceiptIssuedBy,Receipt - Issued By Name,s
191,Receipt Data,,Receipt Number,Receipt_ReceiptNumber,Receipt - Receipt Number,n
197,Receipt Data,,Received From,Receipt_ReceivedFrom,Receipt - Received From Name,s
396,Receipt Data,,Received From Address (Multi Line),Receipt_ReceivedFromAddressMultiLine,Received from address (trust receipts only),s
395,Receipt Data,,Received From Address (One Line),Receipt_ReceivedFromAddressOneLine,Received from address (trust receipts only),s
415,Receipt Data,,Regulatory Text,Receipt_RegulatoryText,Text required by compliance plugin regulations,s
516,Receipt Data,,Title,Receipt_Title,Title for receipt templates,s
329,Receipt Data,,Transaction Date,Receipt_TransactionDate,The General Ledger transaction date (which should also be the bank deposit date) for the GL Transaction assocated to the receipt,d
190,Receipt Data,,Transaction ID,Receipt_TransactionID,Receipt - GL Transaction ID,s
432,Receipt Data,,Trust Account Alias,Receipt_TrustAccountAlias,Trust/Client/Controlled Money Account,s
433,Receipt Data,,Trust Account Number,Receipt_TrustAccountNumber,The bank account number,n
169,Sale/Purchase Data,,Action ID,SP_ActionId,Sale/Purchase Action Id,n
188,Sale/Purchase Data,,Additional Notes,SP_AdditionalNotes,Sale/Purchase Additional Notes,s
172,Sale/Purchase Data,,Amount Paid,SP_AmountPaid,Sale/Purchase Total Amount Paid,c
150,Sale/Purchase Data,,Amounts Include Tax,SP_AmountsIncludeTax,Sale/Purchase Amounts Include Tax,c
448,Sale/Purchase Data,,Any Payment Total Applied On Invoice Created Date,SP_AnyPaymentTotalAppliedOnInvoiceCreatedDate,Any payments,c
173,Sale/Purchase Data,,Balance Due,SP_BalanceDue,Sale/Purchase Total Balance Due,c
138,Sale/Purchase Data,,Bank Account Number,SP_BankAccountNumber,Sale/Purchase Bank Account Number,n
139,Sale/Purchase Data,,Bank Name,SP_BankName,Sale/Purchase Bank Name,s
152,Sale/Purchase Data,,Bill Pay Invoice Link,SP_BillPayInvoiceLink,Bill-Pay Link to pay the invoice,s
203,Sale/Purchase Data,,Billing Address,SP_BillingAddress,Sale/Purchase Billing Address,s
336,Sale/Purchase Data,,Billing Address No Country,SP_BillingAddressNoCountry,"Sale/Purchase Billing Address, where the Country is removed for the local country",s
157,Sale/Purchase Data,,Created By,SP_CreatedBy,Sale/Purchase Created By,s
158,Sale/Purchase Data,,Created Date,SP_CreatedDate,Sale/Purchase Created Date,d
141,Sale/Purchase Data,,Currency Code,SP_CurrencyCode,Sale/Purchase Currency Code,s
170,Sale/Purchase Data,,Debt Collection Action ID,SP_DebtCollectionActionId,Sale/Purchase Debt Collection Action Id,n
168,Sale/Purchase Data,,Description,SP_Description,Sale/Purchase Description,s
227,Sale/Purchase Data,,Distinct Action ID List,SP_DistinctActionIdList,Sale/Purchase - Distinct list of Action ID's used in the sale/purchase record,n
